genres,original_language,production_countries,release_date,runtime,title,production_companies_name,year,période
Comedy,it,IT,2009-03-13,98,La matassa,"Sky Cinema, Medusa Film, Tramp Limited",2009,2000-2010
"Fantasy, Drama, Crime",sv,"DK, SE",2018-09-27,110,Border,"Films Boutique, Meta Film Stockholm AB, Meta Spark & Kärnfilm, Black Spark Film & TV, Film i Väst, SVT, Meta Film, Copenhagen Film Fund, Svenska Filminstitutet, Eurimages Council of Europe, MEDIA Programme of the European Union, Nordisk Film & TV Fond, Det Danske Filminstitut",2018,>2010
"Comedy, Crime",fr,FR,2003-10-22,85,Ruby & Quentin,"Union Générale Cinématographique (UGC), DD Productions, EFVE",2003,2000-2010
"Drama, Thriller",en,US,1952-07-18,76,Don't Bother to Knock,20th Century Fox,1952,1950-1970
"Horror, Mystery, Thriller",en,US,1973-03-26,93,Sisters,"Pressman-Williams, American International Pictures",1973,1970-1990
"Adventure, Fantasy, Drama",en,US,1925-02-02,93,The Lost World,First National Pictures,1925,<1950
"Action, Thriller",en,"CN, US",2018-09-06,102,Peppermint,"STX Entertainment, Lakeshore Entertainment, Huayi Brothers Pictures, Universal Pictures",2018,>2010
"Drama, Action, History, Thriller",cn,"HK, CN",2010-09-01,105,Legend of the Fist: The Return of Chen Zhen,"Enlight Pictures, Media Asia Films",2010,>2010
"Drama, Mystery, Crime",en,"GB, US",2017-11-03,114,Murder on the Orient Express,"The Mark Gordon Company, Scott Free Productions, Genre Films, TSG Entertainment",2017,>2010
Drama,en,"GB, FR, IT",2010-10-08,124,Neds,"StudioUrania, BlueLight",2010,>2010
"Drama, History",eu,"AR, ES, FR",2020-10-02,92,Coven,"INCAA, La Fidèle Production, Lamia Producciones, Tita Productions, Kowalski Films, Gariza Films, Campo Cine, EiTB, TVE, TVG, Gladys Glover, 77 Films",2020,>2010
"Fantasy, Horror",nb,NO,2010-10-29,103,Troll Hunter,"Filmkameratene, FilmFondet Fuzz, SF Norge",2010,>2010
"Drama, Romance",en,"ES, US",2009-11-07,125,Mother and Child,"Mockingbird Pictures, Everest Entertainment",2009,2000-2010
"Drama, War, Action",en,"JP, GB, US",1990-09-07,107,Memphis Belle,"Warner Bros. Pictures, County Natwest Ventures, Enigma Pictures, Fujisankei Communication Group, British Satellite Broadcasting (BSB)",1990,1990-2000
Drama,fr,FR,2016-11-18,128,150 Milligrams,"France 2 Cinéma, Haut et Court",2016,>2010
Drama,en,US,2010-12-16,91,Rabbit Hole,"Olympus Pictures, OddLot Entertainment, Blossom Films",2010,>2010
"Action, Adventure",ru,RU,2021-04-01,136,Major Grom: Plague Doctor,Bubble Studios,2021,>2010
"Comedy, Romance",hi,IN,2018-02-14,133,Love per Square Foot,"RSVP Movies, Leo Media Collective",2018,>2010
"Crime, Drama, Romance",es,"FR, DE, MX, NL",2013-08-09,105,Heli,"Mantarraya Producciones, Tres Tunas, No Dream Cinema, Le Pacte, Fondo para la Producción Cinematográfica de Calidad, unafilm, Lemming Film, Ticoman, Iké Asistencia, Consejo Nacional para la cultura y las artes",2013,>2010
"Drama, Romance",en,"FR, IT, GB",1996-03-29,116,Stealing Beauty,"Fox Searchlight Pictures, Recorded Picture Company, Jeremy Thomas Productions, Fiction Films, France 2 Cinéma",1996,1990-2000
Comedy,fr,"BE, FR",2006-06-21,84,Dikkenek,"Avalanche Productions, EuropaCorp, Seven",2006,2000-2010
"Drama, History, Thriller",en,US,2018-08-29,124,Operation Finale,"Automatik Entertainment, Metro-Goldwyn-Mayer",2018,>2010
"Animation, Adventure, Family",en,"AU, US",2018-02-07,93,Peter Rabbit,"Columbia Pictures, Animal Logic, 2.0 Entertainment, Olive Bridge Entertainment, Screen Australia, Screen NSW, Sony Pictures Animation",2018,>2010
"Drama, Crime, Thriller",en,US,2021-07-29,139,Stillwater,"Anonymous Content, Slow Pony Pictures, DreamWorks Pictures, Participant, Amblin Partners",2021,>2010
"Animation, Family, Adventure, Fantasy, Comedy",en,US,2004-11-10,100,The Polar Express,"Golden Mean, Playtone, ImageMovers, Castle Rock Entertainment, Shangri-La Entertainment",2004,2000-2010
"Comedy, Drama, Romance",en,"GB, US",2013-09-18,93,Enough Said,"Fox Searchlight Pictures, Likely Story, TSG Entertainment, Ingenious Media, Big Screen Productions",2013,>2010
"Drama, Romance",en,US,2018-01-17,105,Fifty Shades Freed,"Universal Pictures, Perfect World Pictures",2018,>2010
Comedy,tr,TR,2005-12-22,106,Magic Carpet Ride,BKM Film,2005,2000-2010
"Action, Family",da,DK,2019-03-28,96,Hacker,"Cinenic Film, Toolbox Film",2019,>2010
"Comedy, Drama, Romance",fr,"BE, FR",2015-08-19,105,Summertime,"France 3 Cinéma, Artémis Productions, Chaz Productions, Canal+",2015,>2010
"Thriller, Crime, Drama, Horror",de,DE,2005-04-24,127,Antibodies,"Kinowelt Filmproduktion, MedienKontor Movie GmbH",2005,2000-2010
"Comedy, Crime",en,US,1990-07-13,89,Quick Change,"Devoted Productions, Warner Bros. Pictures",1990,1990-2000
"Animation, Family",en,US,2007-11-06,11,Your Friend the Rat,Pixar,2007,2000-2010
"Adventure, Action, Thriller, Science Fiction",en,US,2003-11-05,129,The Matrix Revolutions,"Village Roadshow Pictures, NPV Entertainment, Silver Pictures",2003,2000-2010
"Adventure, Comedy, Science Fiction",en,"GB, US",2011-02-14,104,Paul,"Universal Pictures, Relativity Media, Working Title Films, Big Talk Productions",2011,>2010
"Fantasy, Drama, Horror",ko,KR,2007-12-27,117,Hansel & Gretel,"Barunson E&A, Cineclick Asia, CJ Entertainment",2007,2000-2010
"Drama, Thriller, Crime, Mystery",en,US,1994-07-20,119,The Client,"Alcor Films, Regency Enterprises, Warner Bros. Pictures",1994,1990-2000
"War, Drama",nl,NL,2018-03-08,124,The Resistance Banker,"Dutch Filmworks, NL Film en TV, Mollywood, EO, Zilvermeer Productions, Nanook Entertainment",2018,>2010
"Drama, History, Thriller, Action",en,"BE, FR, LU",2018-11-07,118,Kursk,"Belga Productions, VIA EST",2018,>2010
"Family, Drama",fr,FR,2002-12-18,85,The Butterfly,Canal+,2002,2000-2010
"Comedy, Drama",fr,"BE, IT, FR",2011-11-02,135,The Source,"Elzévir Films, Oï  Oï  Oï Productions, EuropaCorp, France 3 Cinéma, La Compagnie Cinématographique, Panache Productions, BIM Distribuzione, Indigo Film, Société nationale de radiodiffusion et de télévision (SNRT), Eurimages, Canal+, CinéCinéma, France Télévisions, MEDIA Programme of the European Union, Centre Cinématographique Marocain (CCM), RTBF",2011,>2010
"Comedy, Drama, Music, History",en,"GB, US",1999-12-15,160,Topsy-Turvy,"Newmarket Capital Group, Goldwyn Films, The Greenlight Fund, Thin Man Films",1999,1990-2000
Drama,fr,FR,2017-11-22,115,Reinventing Marvin,"P.A.S. Productions, Ciné+, Ciné-@, F Comme Film, France 2 Cinéma, Mars Films, Canal+",2017,>2010
"Crime, Drama, Thriller, History",en,US,2021-08-19,100,No Man of God,"XYZ Films, Company X, SpectreVision",2021,>2010
"Crime, Drama, Thriller, Mystery",en,"CA, DE, US",2002-01-14,105,Narc,"Cruise/Wagner Productions, Paramount, Lions Gate Films",2002,2000-2010
"Action, Thriller",en,US,2020-10-13,85,Seized,"Premiere Entertainment Group, Arramis Films, BondIt Media Capital",2020,>2010
"Animation, Action, Science Fiction",ja,JP,1994-03-12,48,Dragon Ball Z: Broly – Second Coming,"Toei Company, Bird Studios, Toei Animation",1994,1990-2000
"Thriller, Crime",en,"IT, GB, US",1990-07-18,103,King of New York,"Reteitalia, Scena International",1990,1990-2000
"Animation, Family",en,US,2011-11-03,74,Barbie: A Perfect Christmas,Technicolor,2011,>2010
"Action, Adventure, Comedy, Crime, Thriller",en,"CA, US",2010-10-13,111,RED,"Di Bonaventura Pictures, DC Comics, Summit Entertainment",2010,>2010
"Action, Thriller, Crime",cn,"HK, CN",2014-10-31,100,Kung Fu Jungle,"Heart & Soul Production, Beijing Silver Moon Productions, JCE Movies",2014,>2010
"Comedy, Horror",no,NO,2021-07-30,115,The Trip,74 Entertainment,2021,>2010
"Comedy, Drama",de,DE,2020-04-17,94,Rising High,"UFA Fiction, ARD",2020,>2010
"Comedy, Drama",fr,"BE, FR",2019-05-01,135,Little White Lies 2,Les Productions du Trésor,2019,>2010
"Action, Thriller",cn,HK,1991-10-05,92,Riki-Oh: The Story of Ricky,"Diagonal Pictures, Paragon Films Ltd., Golden Harvest Productions, Orange Sky Golden Harvest",1991,1990-2000
"Drama, History, Romance",fr,"BE, FR, NL",2021-07-09,131,Benedetta,"SBS Productions, Topkapi Films, Pathé, France 2 Cinéma, France 3 Cinéma, Belga Productions",2021,>2010
"Animation, Drama, Science Fiction",en,,2003-06-03,16,Matriculated,DNA,2003,2000-2010
"Comedy, Drama, Science Fiction",it,"IT, FR",1965-12-02,92,The 10th Victim,"Compagnia Cinematografica Champion, Les Films Concordia, StudioCanal",1965,1950-1970
"Comedy, Drama, Romance",en,"GB, US",2006-09-09,117,A Good Year,"Fox 2000 Pictures, Scott Free Productions",2006,2000-2010
"Comedy, Action",cn,HK,1992-01-15,104,Twin Dragons,"Hong Kong Film Directors Guild, Golden Way Films Ltd., Paragon Films Ltd.",1992,1990-2000
"Action, Adventure, Drama, Romance",en,US,1948-10-19,125,The Three Musketeers,"""Loews Incorporated"", Metro-Goldwyn-Mayer",1948,<1950
"Animation, Action, Comedy, Family",en,US,2011-02-25,16,Megamind: The Button of Doom,DreamWorks Animation,2011,>2010
"Adventure, Fantasy, Animation, Science Fiction, Family",ja,JP,1999-07-17,84,Pokémon the Movie 2000,"Nintendo, OLM, ""Pikachu Project 99"", Shogakukan, TV Tokyo, GAME FREAK, Shogakukan Production, East Japan Marketing & Communications, Tomy, Creatures",1999,1990-2000
"Romance, Drama",en,US,1975-06-06,127,Mandingo,"Paramount, Dino De Laurentiis Company",1975,1970-1990
"Music, Drama",en,US,1993-03-05,112,Swing Kids,"Hollywood Pictures, Touchwood Pacific Partners 1",1993,1990-2000
Drama,de,"IT, DE",2013-01-30,122,The Devil's Violinist,"ORF, Dor Film Production Company, Construction Film, Bahr Productions Inc., Film House Germany, ARTE, ARD",2013,>2010
"Family, Animation, Action, Science Fiction",en,US,2014-01-21,52,JLA Adventures: Trapped in Time,"DC Comics, DC Entertainment, Warner Bros. Animation, Warner Home Video",2014,>2010
"Animation, Comedy, Adventure, Family",en,"CA, US",2022-01-28,82,The Ice Age Adventures of Buck Wild,"Bardel Entertainment, Walt Disney Pictures, 20th Century Studios",2022,>2010
Drama,fr,"BE, FR",2021-03-05,93,Slalom,"Jour2Fête, Mille et une productions, Charlie Bus Production, Panache Productions",2021,>2010
Drama,nl,BE,2015-10-14,93,The Ardennes,"PRPL, Savage Film, Bastide Films, Eyeworks",2015,>2010
"Horror, Thriller",fr,FR,2007-06-13,83,Inside,"La Fabrique de Films, BR Films, CinéCinéma, Canal+, Soficinéma 3, Uni Etoile 4, Cofinova 3",2007,2000-2010
"History, War, Action",en,US,1960-12-15,208,Exodus,Otto Preminger Films,1960,1950-1970
Drama,ko,KR,2013-09-05,89,Moebius,"Kim Ki Duk Film, Next Entertainment World, Finecut",2013,>2010
"Drama, Crime, Thriller",en,"IE, GB, US",2003-07-11,98,Veronica Guerin,"Jerry Bruckheimer Films, Touchstone Pictures",2003,2000-2010
"Horror, Thriller, Mystery",en,US,2021-07-01,88,Escape Room: Tournament of Champions,"Original Film, Columbia Pictures, Shaken, Not Stirred Productions",2021,>2010
"Thriller, Adventure, Drama",en,GB,1963-08-13,92,Lord of the Flies,Two Arts Ltd.,1963,1950-1970
"Romance, War, Drama",en,"FR, SE, GB",2017-02-19,117,Their Finest,"BBC Film, HanWay Films, Number 9 Films, Filmgate Films, Ripken Productions, Pinewood Pictures, Wildgaze Films, Film i Väst, EuropaCorp",2017,>2010
Drama,fa,IR,2018-06-06,100,3 Faces,Jafar Panahi Film Productions,2018,>2010
Drama,en,"FR, IR, US",2018-11-02,122,The Other Side of the Wind,"SACI, ""Les Films de lAstrophore""",2018,>2010
"Comedy, Romance",it,IT,2008-11-28,89,Just a Father,Cattleya,2008,2000-2010
"Romance, Comedy, Drama",en,US,1996-08-02,121,Emma,"Miramax, Haft Entertainment, Matchmaker Films",1996,1990-2000
"Comedy, Drama",en,US,2018-04-04,115,"Don't Worry, He Won't Get Far on Foot","Anonymous Content, Big Indie Pictures, Iconoclast, Lionsgate, Amazon Studios",2018,>2010
"Drama, History",en,"CA, ZA",2011-04-22,106,The Bang Bang Club,Film Foundry Partners,2011,>2010
"Comedy, Drama, Romance",tr,TR,2014-10-02,134,Coming Soon,CMYLMZ Fikirsanat,2014,>2010
"Drama, War",zh,"CN, DE, AU",2008-04-03,125,The Children of Huang Shi,"Australian Film Finance Corporation, Zero Fiction Film, Ming Productions, Bluewater Pictures, Cheerland Entertainment Organization",2008,2000-2010
"Drama, Mystery, Romance",en,US,2018-03-02,117,The Vanishing of Sidney Hall,"Super Crispy Entertainment, Fuzzy Logic Pictures",2018,>2010
Drama,en,US,1988-08-12,111,Tucker: The Man and His Dream,"Lucasfilm Ltd., American Zoetrope",1988,1970-1990
"Drama, Fantasy, Mystery, Thriller",en,"DE, GB, US",2020-01-30,12,Nimic,"Rekorder Berlin Filmproduktion, Superprime Films, Merman",2020,>2010
Drama,en,US,1982-08-13,136,The World According to Garp,"Pan Arts, Warner Bros. Pictures",1982,1970-1990
"Comedy, Family, Adventure",en,US,1992-11-19,120,Home Alone 2: Lost in New York,"20th Century Fox, Hughes Entertainment",1992,1990-2000
Drama,en,US,1996-12-18,98,Marvin's Room,"Tribeca Productions, Miramax, Scott Rudin Productions",1996,1990-2000
"Drama, Romance",en,US,1957-12-25,147,Sayonara,"Pennebaker Productions, William Goetz Productions",1957,1950-1970
"Crime, Drama",ca,ES,2010-10-10,108,Black Bread,"""Massa dOr Produccions"", TV3",2010,>2010
"Crime, Drama, Family",en,"CZ, FR, IT, GB",2005-09-23,130,Oliver Twist,"ETIC Films, R.P. Productions, Runteam III Ltd.",2005,2000-2010
"Drama, History",es,"AR, BR, FR, LB, MX, NL, PT, ES, US",2017-09-28,115,Zama,"Bananeira Filmes, Canana, El Deseo, O Som e a Fúria, Rei Cine, Patagonik, MPM Film, Lemming Film, KNM, Louverture Films, Schortcut Films, Picnic Producciones, Perdomo Productions",2017,>2010
Horror,en,US,1988-11-09,87,Child's Play,"United Artists, David Kirschner Productions",1988,1970-1990
"History, War, Action, Drama",en,"FR, US",1993-12-24,140,Heaven & Earth,"Regency Enterprises, Warner Bros. Pictures",1993,1990-2000
"Comedy, Drama",en,US,1988-12-21,123,Beaches,"Touchstone Pictures, All Girl Productions, Silver Screen Partners IV",1988,1970-1990
"Action, Science Fiction, Adventure",en,US,1998-07-17,94,Babylon 5: Thirdspace,"Babylonian Productions, Turner Network Television",1998,1990-2000
"Adventure, Action, Thriller",en,US,2006-04-25,126,Mission: Impossible III,"Paramount, Cruise/Wagner Productions",2006,2000-2010
"Comedy, Drama, Family",en,US,1998-09-11,114,Simon Birch,"Hollywood Pictures, Caravan Pictures",1998,1990-2000
"Music, Romance, Comedy, Drama",en,GB,2013-10-03,100,Sunshine on Leith,DNA Films,2013,>2010
Adventure,en,US,1985-12-04,109,Young Sherlock Holmes,"Amblin Entertainment, Paramount",1985,1970-1990
"Drama, Music, Romance",en,US,1984-07-27,111,Purple Rain,"Water, Purple Films, Warner Bros. Pictures",1984,1970-1990
"Drama, Comedy, Music",en,"GB, US",2013-09-09,103,One Chance,"Relevant Entertainment, Syco Television, Weston Pictures, The Weinstein Company",2013,>2010
"Horror, Comedy, Mystery",en,US,1962-07-04,89,Tales of Terror,Alta Vista Productions,1962,1950-1970
"Comedy, Action, Fantasy",en,US,1987-08-14,82,The Monster Squad,"TriStar Pictures, Keith Barish Productions, TAFT Entertainment Pictures, HBO",1987,1970-1990
"Comedy, Drama, Romance",es,"FR, PT, ES",1992-12-04,109,Belle Époque,"Animatógrafo, Sogepaq, Eurimages, Lolafilms, Fernando Trueba Producciones Cinematográficas",1992,1990-2000
"Romance, Drama",en,US,2014-10-10,89,The Disappearance of Eleanor Rigby: Him,"Dreambridge Films, Unison Films, Myriad Pictures, Kim and Jim Productions, Division Films",2014,>2010
"Adventure, Comedy, Drama, Horror, Thriller",es,"BE, FR, IT, ES",2010-12-17,106,The Last Circus,"uMedia, Tornasol Films, La Fabrique 2, uFilm, Canal+ España, Castafiore Films, TVE, Mikado Film, Playtime",2010,>2010
"Drama, Romance",en,"GB, US",2016-11-04,123,Loving,"Big Beach, Raindog Films, Augusta Films, Tri-State Pictures",2016,>2010
"Crime, Drama, Thriller",en,"ZA, FR",2013-12-04,110,Zulu,"Eskwad, M6 Films, Pathé, Lobster Tree, W9, Canal+, Ciné+",2013,>2010
Adventure,fr,"FR, DE, IT",1997-12-03,128,On Guard,"Cecchi Gori Group Tiger Cinematografica, Alicéléo, Canal+, TF1 Films Production, Gemini Filmproduktion, Prima Films",1997,1990-2000
"Crime, Drama, Thriller",en,AU,2000-06-21,94,Chopper,"Pariah Entertainment Group, Mushroom Pictures, Australian Film Finance Corporation",2000,2000-2010
"Romance, Drama",en,"GB, US",2003-11-26,101,The Cooler,"Pierce/Williams Entertainment, ContentFilm, Lions Gate Films",2003,2000-2010
"Animation, Comedy, Family",en,"GB, US, FR",2000-06-23,84,Chicken Run,"DreamWorks Animation, Aardman, Pathé, DreamWorks Pictures",2000,2000-2010
"Comedy, Science Fiction",en,US,1984-02-20,92,Repo Man,"Universal Pictures, Edge City",1984,1970-1990
Comedy,en,US,1995-09-15,83,Blue in the Face,"InterAL, Miramax",1995,1990-2000
"Comedy, Romance, Drama",en,"GB, US",2007-07-19,117,Hairspray,"Offspring Entertainment, New Line Cinema, Zadan / Meron Productions, Ingenious Media",2007,2000-2010
Horror,en,GB,1971-10-03,87,Twins of Evil,"The Rank Organisation, Hammer Film Productions",1971,1970-1990
"Thriller, Romance",es,AR,2021-03-18,80,Amor Bandido,"Werner Cine, PUCARÁ cine, Magoya Films",2021,>2010
"Romance, Comedy",it,IT,2014-04-03,91,Ti ricordi di me?,"Elatos, RAI Cinema, Lotus Production",2014,>2010
"Drama, Fantasy, Horror",en,GB,1988-09-10,92,Paperhouse,Working Title Films,1988,1970-1990
"Horror, War, Science Fiction",en,"CA, US",2018-11-01,110,Overlord,"Bad Robot, Paramount",2018,>2010
"Adventure, Drama, Thriller",ar,"JO, QA, AE, GB",2014-10-26,100,Theeb,"Immortal Entertainment, Bayt Al Shawareb, Noor Pictures",2014,>2010
"Comedy, Romance",en,US,2022-01-14,90,Sex Appeal,"LD Entertainment, American High, Lit Entertainment Group, Nickel City Pictures",2022,>2010
Drama,en,US,2018-01-05,100,Blame,Reel Enigma,2018,>2010
"Action, Horror, Drama, Fantasy",ko,KR,2018-09-12,106,Monstrum,Taewon Entertainment,2018,>2010
"Drama, Thriller, Crime",en,"CA, DE",2010-09-13,112,The Whistleblower,"First Generation Films, Mandalay Vision, Samuel Goldwyn Films, Primary Productions, Barry Films, Indomitable Entertainment, Voltage Pictures, Sunrise Pictures, Whistleblower (Gen One)",2010,>2010
"Animation, Family, Comedy, Adventure",en,US,2006-03-29,91,Ice Age: The Meltdown,"20th Century Fox Animation, Blue Sky Studios, 20th Century Fox",2006,2000-2010
"Fantasy, Action",en,"CZ, US",2004-04-02,122,Hellboy,"Columbia Pictures, Revolution Studios, Dark Horse Entertainment, Lawrence Gordon Productions, Starlite Films, Partnership Films",2004,2000-2010
"Thriller, History",en,GB,2018-09-13,101,Red Joan,"Trademark Films, Cambridge Picture Company",2018,>2010
"Adventure, History, Action",en,US,1999-08-13,102,The 13th Warrior,Touchstone Pictures,1999,1990-2000
"Drama, Comedy",de,DE,2016-09-15,93,Goodbye Berlin,"Lago Film, StudioCanal",2016,>2010
"Crime, Drama, Mystery, Thriller",en,US,2014-10-09,112,Kill the Messenger,"The Combine, Bluegrass Films, Focus Features, Sierra/Affinity",2014,>2010
Thriller,en,US,2019-09-22,99,Fractured,"Koji Productions, Crow Island Films, Macari/Edelstein, Paul Schiff Productions",2019,>2010
"Adventure, Horror, Action, History",fr,FR,2001-01-31,143,Brotherhood of the Wolf,"Davis Films, Eskwad, Natexis Banques Populaires Images, Studio Image Soficas, Canal+, TF1 Films Production, StudioCanal, Metropolitan Films",2001,2000-2010
"Horror, Mystery, Thriller",it,"DE, FR, IT",1971-02-12,112,The Cat o' Nine Tails,"Labrador Films, Seda Spettacoli, Terra-Filmkunst, Titanus",1971,1970-1990
"Action, Crime, Drama, Thriller",en,US,2007-08-31,105,Death Sentence,"Dune Entertainment, Baldwin Entertainment Group, Brass Hat Films, 20th Century Fox, Hyde Park Films",2007,2000-2010
"Romance, Drama, Comedy",en,US,1994-10-12,97,Don Juan DeMarco,"American Zoetrope, New Line Cinema, Juno Pix, Outlaw Productions",1994,1990-2000
"Action, Crime, Thriller",en,"US, FR",2002-10-02,92,The Transporter,"TF1 Films Production, EuropaCorp, Current Entertainment, Canal+",2002,2000-2010
"Comedy, Drama",pt,BR,2015-04-30,83,A Man Amidst Bees,Globo Filmes,2015,>2010
Drama,en,US,2014-04-11,110,Draft Day,"Lionsgate, Summit Entertainment, OddLot Entertainment",2014,>2010
"Adventure, Comedy, Family, Fantasy",en,"AU, US",2019-08-08,102,Dora and the Lost City of Gold,"Nickelodeon Movies, Paramount Players, Walden Media, Screen Queensland, Paramount",2019,>2010
"Romance, Drama",en,GB,1999-11-12,112,Mansfield Park,"HAL Films, BBC Film",1999,1990-2000
"Crime, Drama",es,MX,2018-08-23,127,Museo,"Panorama Global, Detalle Films, Ring Cine, Distant Horizon, Serendipity Point Films",2018,>2010
Comedy,tr,TR,2017-12-01,124,In the Family,"Mars Dagitim, BKM",2017,>2010
"Comedy, Romance",en,"KR, US",2008-05-26,92,My Sassy Girl,"CJ Entertainment, Gold Circle Films, Madacy Entertainment, Maverick Films, Sassy Girl Productions, Vertigo Entertainment, Mandate International",2008,2000-2010
"Action, Comedy",it,"DE, IT",1982-03-24,96,Banana Joe,"Lisa Film, Derby Cinematografica",1982,1970-1990
"Fantasy, Comedy",en,US,2003-05-23,101,Bruce Almighty,"Pit Bull Productions, Spyglass Entertainment, Universal Pictures, Shady Acres Entertainment",2003,2000-2010
"Drama, Romance, Fantasy, Mystery",fr,"BE, FR, SN",2019-10-02,106,Atlantics,"Les Films du Bal, Cinekap, Frakas Productions, Ad Vitam Production, ARTE France Cinéma, Canal+, Canal+ International, Ciné+, MK2 Films, TV5 Monde",2019,>2010
"Romance, Comedy",en,US,2018-04-13,112,Overboard,"Pantelion Films, 3Pas Studios, Metro-Goldwyn-Mayer",2018,>2010
"Drama, Horror, Thriller, TV Movie",es,ES,2006-11-04,80,The Baby's Room,"Estudios Picasso, Filmax, Castelao Productions, Telecinco Cinema",2006,2000-2010
"Fantasy, Drama",de,CH,2017-10-02,97,Blue My Mind,"Zürcher Hochschule der Künste, tellfilm",2017,>2010
"Romance, Comedy",pt,BR,2014-01-24,94,S.O.S.: Women to the Sea,"Miravista, Ananã Produções, Globo Filmes",2014,>2010
Thriller,no,NO,2015-08-28,104,The Wave,"Fantefilm, Film i Väst, Tre Vänner",2015,>2010
"Adventure, Animation, Family, Fantasy",en,,2017-11-01,26,Trolls Holiday,"NBC, DreamWorks Animation",2017,>2010
"Comedy, Drama, Romance",en,US,1996-11-15,126,The Mirror Has Two Faces,"Phoenix Pictures, TriStar Pictures",1996,1990-2000
"Action, Adventure, Animation, War, Science Fiction",ja,JP,2008-08-02,121,The Sky Crawlers,"Production I.G, Warner Bros. Entertainment",2008,2000-2010
"Action, Adventure, Comedy",it,IT,1979-11-30,95,I'm for the Hippopotamus,Denver Film Productions,1979,1970-1990
"Comedy, Drama, Fantasy",fr,FR,1974-09-18,193,Céline and Julie Go Boating,"Les Films Christian Fechner, Action Films, Les Films 7, Les Films du Losange, Renn Productions, Saga, Simar Productions, V.M. Productions",1974,1970-1990
"Drama, Mystery",en,"IE, GB",2022-11-02,108,The Wonder,"Element Pictures, House Productions, Screen Ireland",2022,>2010
"Thriller, Action",en,"CA, US",2021-05-05,100,Those Who Wish Me Dead,"Bron Studios, Film Rites, New Line Cinema, Bosque Ranch Productions",2021,>2010
"Horror, Mystery, Thriller",en,US,1999-09-10,99,Stir of Echoes,Artisan Entertainment,1999,1990-2000
"Horror, Comedy",en,US,1988-04-15,86,Brain Damage,Palisades Partners,1988,1970-1990
"TV Movie, Family, Comedy, Fantasy",en,US,1996-11-12,89,Wish Upon a Star,Leucadia Film Corporation,1996,1990-2000
Drama,en,IT,2015-01-15,109,Hungry Hearts,"Wildside, RAI",2015,>2010
Horror,ja,JP,2002-10-18,92,Ju-on: The Grudge,"Oz Company, Xanadeux Company, Pioneer LDC, Nikkatsu Corporation",2002,2000-2010
"Adventure, Animation, Family, Comedy, Fantasy",en,FR,1990-08-03,74,DuckTales: The Movie - Treasure of the Lost Lamp,Walt Disney Animation,1990,1990-2000
Drama,en,US,1999-10-29,124,Music of the Heart,"Craven-Maddalena Films, Miramax",1999,1990-2000
"Drama, Thriller, Crime",es,"BE, FR, ES, GB, US",2019-08-30,107,Eye for an Eye,"Atresmedia, Vaca Films, Quien a hierro mata, Sony Pictures International Productions, Film Constellation, Ministerio de Educación, Cultura y Deporte, Xunta de Galicia, Canal+, ICAA, MEDIA Programme of the European Union, Playtime",2019,>2010
"Action, Horror, Adventure, Thriller",ko,KR,2019-07-31,129,The Divine Fury,"Lotte Entertainment, Content K, KEYEAST",2019,>2010
"Horror, Thriller",en,US,1987-02-27,96,A Nightmare on Elm Street 3: Dream Warriors,"New Line Cinema, Smart Egg Pictures, Heron Communications",1987,1970-1990
"Drama, Romance, War",en,"AU, US",1982-12-17,115,The Year of Living Dangerously,"McElroy & McElroy, Metro-Goldwyn-Mayer, United International Pictures, Freddie Fields Productions",1982,1970-1990
"Animation, Fantasy, Family, Adventure, Comedy, TV Movie",en,US,2010-10-14,16,Legend of the BoneKnapper Dragon,DreamWorks Animation,2010,>2010
"Drama, Crime, Action",en,US,2016-09-09,80,Kicks,"Bystorm Films, Animal Kingdom, Bow + Arrow Entertainment, Northern Lights Films, Focus Features",2016,>2010
"Adventure, Family, Action",en,US,1994-01-14,108,Iron Will,Walt Disney Pictures,1994,1990-2000
"Family, Fantasy, Adventure",en,"GB, US",2019-03-27,112,Dumbo,"Tim Burton Productions, Walt Disney Pictures, Moving Picture Company, Infinite Detective, Secret Machine Entertainment, British Film Commission, South Australian Film Corporation",2019,>2010
Comedy,fr,"FR, IT",1968-03-22,96,The Little Bather,"Les Films Corona, Les Films Copernic, Fono Roma, Selenia Cinematografica",1968,1950-1970
"Action, Comedy, Thriller, Crime",cn,HK,1991-02-02,103,Once a Thief,"Milestone Productions, Golden Princess Film Production Limited, John Woo Film Production",1991,1990-2000
"Animation, Comedy, Family, Adventure, Music, Romance",it,IT,2003-12-19,80,Totò Sapore e la magica storia della pizza,"Lanterna Magica, MiC, Medusa Film, Comet Entertainment, Chinatown S.r.l., Black Maria Studios, Cartoon Films, Ltd., Cartoonia, Enarmonia, GRAPHILM, Hanho Heung-Up Company, SEK Animation Studio, Siriol Productions, Sunmin Image Pictures",2003,2000-2010
"Drama, Horror",en,"HU, US",2021-09-23,113,Birds of Paradise,"Anonymous Content, Everything Is Everything, Amazon Studios, Big Indie Pictures",2021,>2010
"Action, Adventure, Science Fiction, Horror",ja,JP,1962-08-11,97,King Kong vs. Godzilla,"TOHO, Tokyo Laboratory",1962,1950-1970
"Action, Adventure, Comedy",en,"CA, US",2022-12-23,113,The Man from Toronto,"Escape Artists, Sony Pictures, Bron Studios",2022,>2010
"Romance, Drama",en,US,2010-06-23,83,Bloomington,Frontier Studios,2010,>2010
