genres,original_language,production_countries,release_date,runtime,title,production_companies_name,year,période
Comedy,de,"DE, CH",2018-07-05,94,The Awakening of Motti Wolkenbruch,"Turnus Film, DCM Pictures, SRF, SRG SSR, Teleclub",2018,>2010
Adventure,fr,FR,2017-12-20,99,To the Top,"MyFamily, Rouge International, Reliance Entertainment",2017,>2010
"Comedy, Drama, Romance",en,US,2008-04-11,95,Smart People,"GEM Global Entertainment Magyar, Miramax, Sherazade Film Development, Groundswell Productions, QED International, Corduroy Films, Visitor Pictures, ""Chesterfield Writers Film Project""",2008,2000-2010
"Crime, Thriller",en,US,2001-09-07,92,Knockaround Guys,Lawrence Bender Productions,2001,2000-2010
Action,en,GB,2018-05-12,99,All the Devil's Men,"Metrol Technology, Big Book Media, BondIt, GFM films, H Films, Head Gear Films, West London Film Studios",2018,>2010
"Comedy, Romance, Thriller",en,US,2006-10-09,115,Man of the Year,"Universal Pictures, Morgan Creek Productions",2006,2000-2010
"Romance, Drama",es,AR,2017-10-05,94,Desire,"Aleph, Claudio Corbelli Producciones, HEi Films",2017,>2010
"Horror, Fantasy, Adventure, Mystery",en,US,2020-02-12,109,Fantasy Island,"Blumhouse Productions, Columbia Pictures, Tower of Babble",2020,>2010
"Action, Romance, Comedy, Crime",hi,,2014-07-25,146,Kick,"Nadiadwala Grandson Entertainment, UTV Motion Pictures",2014,>2010
"Comedy, Drama",en,US,2014-09-05,87,Welcome to Me,"Bron Studios, Gary Sanchez Productions",2014,>2010
"Drama, History",en,US,2018-11-06,113,The Front Runner,"Bron Studios, Right of Way Films, Creative Wealth Media Finance, Stage 6 Films",2018,>2010
"Drama, History",fr,FR,2016-09-21,117,Cezanne and I,Pathé Distribution,2016,>2010
"Mystery, Horror, Science Fiction",en,CA,2016-09-22,90,The Void,"XYZ Films, 120dB Films, JoBro Productions, Cave Painting Pictures, The Salt Company",2016,>2010
"Science Fiction, Action, Crime, TV Movie",en,US,1978-03-15,92,Spider-Man,"Danchuk Productions, Charles Fries Productions, Dan Goodman Productions, CBS Studios",1978,1970-1990
"Action, Drama, Thriller, Western",en,US,2016-12-16,94,The Hollow Point,"Atlas Independent, Vertical Entertainment, MICA Entertainment",2016,>2010
"Comedy, Crime, Thriller",en,"DE, US",2000-08-30,108,Nurse Betty,"IMF Internationale Medien und Film GmbH & Co. Produktions KG, Gramercy Pictures, Propaganda Films, ""ab-strakt Pictures"", Universal Pictures",2000,2000-2010
"Comedy, Drama, Mystery",en,US,2016-04-16,105,The Family Fang,"Tiberius Film, Olympus Pictures, QED International, Red Crown Productions, Blossom Films",2016,>2010
"Comedy, Drama",fr,FR,2018-09-05,98,Photo de famille,"Fireflight, Jerico",2018,>2010
"Family, Adventure, Science Fiction",en,US,1986-06-06,107,SpaceCamp,"ABC Motion Pictures, 20th Century Fox",1986,1970-1990
"Drama, Romance",en,US,2012-04-21,83,And While We Were Here,,2012,>2010
"Comedy, Music, Romance",en,US,2005-09-13,105,Romance & Cigarettes,United Artists,2005,2000-2010
"Drama, Romance",en,"CL, US",2019-03-07,102,Gloria Bell,"FilmNation Entertainment, Fabula, Stage 6 Films",2019,>2010
Comedy,en,"US, JP",1992-10-01,108,Mr. Baseball,Universal Pictures,1992,1990-2000
"Adventure, Family, Fantasy, TV Movie",en,"CA, DE, US",2001-10-28,93,Snow White: The Fairest of Them All,"Sextant Entertainment Group, Babelsberg International Film Produktion, Hallmark Entertainment, Snow White Productions",2001,2000-2010
"Drama, Thriller, Adventure",en,NZ,2015-08-30,86,Abandoned,Making Movies,2015,>2010
"Drama, Romance",fr,"FR, TH",1974-06-25,94,Emmanuelle,"Orphée Productions, Trinacra Films",1974,1970-1990
Horror,fr,FR,2011-12-06,92,Livid,La Fabrique 2,2011,>2010
Comedy,en,US,2021-03-29,107,Barb & Star Go to Vista Del Mar,"Gloria Sanchez Productions, Lionsgate",2021,>2010
Drama,en,US,2014-04-11,103,Hateship Loveship,"Fork Films, Union Entertainment Group, Venture Forth, Benaroya Pictures, The Film Community",2014,>2010
"Comedy, Family",en,US,2003-05-09,92,Daddy Day Care,"Revolution Studios, Davis Entertainment",2003,2000-2010
"Horror, Comedy",en,US,1996-08-16,87,Bordello of Blood,"Universal Pictures, Tales From The Crypt Holdings, Universal City Studios",1996,1990-2000
"Thriller, Horror",es,"BE, ES, IE, FR",2017-11-09,107,Muse,"Frakas Productions, Castelao Pictures, Fantastic Films, Filmax Entertainment",2017,>2010
"Horror, Mystery",it,IT,2021-07-14,95,A Classic Horror Story,"Colorado Film, Apulia Film Commission, Rainbow",2021,>2010
"Science Fiction, Comedy, Drama",en,US,2002-08-23,117,S1m0ne,"Niccol Films, New Line Cinema",2002,2000-2010
